Email,Password,Display name,Section
"demo.seed.s084@secondteacher.dev","DemoSeed2026!","Seed Student 084","Period C (SEED)"
"demo.seed.s085@secondteacher.dev","DemoSeed2026!","Seed Student 085","Period C (SEED)"
"demo.seed.s086@secondteacher.dev","DemoSeed2026!","Seed Student 086","Period C (SEED)"
"demo.seed.s087@secondteacher.dev","DemoSeed2026!","Seed Student 087","Period C (SEED)"
"demo.seed.s088@secondteacher.dev","DemoSeed2026!","Seed Student 088","Period C (SEED)"
"demo.seed.s089@secondteacher.dev","DemoSeed2026!","Seed Student 089","Period C (SEED)"
"demo.seed.s090@secondteacher.dev","DemoSeed2026!","Seed Student 090","Period C (SEED)"
"demo.seed.s091@secondteacher.dev","DemoSeed2026!","Seed Student 091","Period D (SEED)"
"demo.seed.s092@secondteacher.dev","DemoSeed2026!","Seed Student 092","Period D (SEED)"
"demo.seed.s093@secondteacher.dev","DemoSeed2026!","Seed Student 093","Period D (SEED)"
"demo.seed.s094@secondteacher.dev","DemoSeed2026!","Seed Student 094","Period D (SEED)"
"demo.seed.s095@secondteacher.dev","DemoSeed2026!","Seed Student 095","Period D (SEED)"
"demo.seed.s096@secondteacher.dev","DemoSeed2026!","Seed Student 096","Period D (SEED)"
"demo.seed.s097@secondteacher.dev","DemoSeed2026!","Seed Student 097","Period D (SEED)"
"demo.seed.s098@secondteacher.dev","DemoSeed2026!","Seed Student 098","Period D (SEED)"
"demo.seed.s099@secondteacher.dev","DemoSeed2026!","Seed Student 099","Period D (SEED)"
"demo.seed.s100@secondteacher.dev","DemoSeed2026!","Seed Student 100","Period D (SEED)"
"demo.seed.s101@secondteacher.dev","DemoSeed2026!","Seed Student 101","Period D (SEED)"
"demo.seed.s102@secondteacher.dev","DemoSeed2026!","Seed Student 102","Period D (SEED)"
"demo.seed.s103@secondteacher.dev","DemoSeed2026!","Seed Student 103","Period D (SEED)"
"demo.seed.s104@secondteacher.dev","DemoSeed2026!","Seed Student 104","Period D (SEED)"
"demo.seed.s105@secondteacher.dev","DemoSeed2026!","Seed Student 105","Period D (SEED)"
"demo.seed.s106@secondteacher.dev","DemoSeed2026!","Seed Student 106","Period D (SEED)"
"demo.seed.s107@secondteacher.dev","DemoSeed2026!","Seed Student 107","Period D (SEED)"
"demo.seed.s108@secondteacher.dev","DemoSeed2026!","Seed Student 108","Period D (SEED)"
"demo.seed.s109@secondteacher.dev","DemoSeed2026!","Seed Student 109","Period D (SEED)"
"demo.seed.s110@secondteacher.dev","DemoSeed2026!","Seed Student 110","Period D (SEED)"
"demo.seed.s111@secondteacher.dev","DemoSeed2026!","Seed Student 111","Period D (SEED)"
"demo.seed.s112@secondteacher.dev","DemoSeed2026!","Seed Student 112","Period D (SEED)"
"demo.seed.s113@secondteacher.dev","DemoSeed2026!","Seed Student 113","Period D (SEED)"
"demo.seed.s114@secondteacher.dev","DemoSeed2026!","Seed Student 114","Period D (SEED)"
"demo.seed.s115@secondteacher.dev","DemoSeed2026!","Seed Student 115","Period D (SEED)"
"demo.seed.s116@secondteacher.dev","DemoSeed2026!","Seed Student 116","Period D (SEED)"
"demo.seed.s117@secondteacher.dev","DemoSeed2026!","Seed Student 117","Period D (SEED)"
"demo.seed.s118@secondteacher.dev","DemoSeed2026!","Seed Student 118","Period D (SEED)"
"demo.seed.s119@secondteacher.dev","DemoSeed2026!","Seed Student 119","Period D (SEED)"
"demo.seed.s120@secondteacher.dev","DemoSeed2026!","Seed Student 120","Period D (SEED)"
